hanyu,pinyin,日本語,correct,hsk_level,explanation_,explanation,w1,w2,w3,zero_based_correct_number
厨房,chu2 fang2,キッチン,キッチン,3,"房间(fang2 jian1) 部屋
厨房(chu2 fang2) キッチン、厨房(ちゅうぼう)

【方はfangと読む】
方(fang1) 方角の方(ホウ)
房(fang2) 厨房の房(ボウ)
放(fang4) 放出の放(ホウ)","《房间》(fang2 jian1) 部屋
《厨房》(chu2 fang2) キッチン、厨房(ちゅうぼう)

【方はfangと読む】
《方》(fang1) 方角の方(ホウ)
《房》(fang2) 厨房の房(ボウ)
《放》(fang4) 放出の放(ホウ)",トイレ,中学生,房间,1
除了,chu2 le5,以外,【前置詞】〜を除いて,3,,,【前置詞】〜を含めて,除く,含む,1
春,chun1,春,春,3,,,夏,秋,冬,1
词语,ci2 yu3,用語,単語、字句,3,,,枕,アジア,俳句,3
聪明,cong1 ming5,賢い,賢い、聡明だ,3,明年,《明年》,耳や目がいい、耳や目の能力が高い,ポジティブ、明るい,美人,3
打扫,da3 sao3,掃除する,掃除する,3,"扫は、掃の簡体字。

【簡体字】
掃 → 扫
復 → 复
習 → 习","《扫》は、掃の簡体字。

【日本の漢字 → 簡体字】
掃 → 《扫》
復 → 《复》
習 → 《习》",打ち返す,そばを作る,うどんを作る,1
打算,da3 suan,する予定,予定・〜するつもりである,3,算段をつける,算段をつける,暗算,算数を勉強する,数学で勝つ,2
带,dai4,持って,持っていく、身につける、【量詞】筋・本,3,,,ベルトコンベア,大陸,鉄道,3
担心,dan1 xin1,心配,心配する,3,"不用担心(bu2 yong4 dan1 xin1)
心配しないで
不用は副詞で「〜する必要はない」

担心(dan1 xin1) 心配する
小心(xiao3 xin1) 気をつける、注意深い
关心(guan1 xin1) 関心を持つ、気に留める
放心(fang4 xin1) 安心する","《不用担心》(bu2 yong4 dan1 xin1)
心配しないで
《不用》は副詞で「〜する必要はない」

《担心》(dan1 xin1) 心配する
《小心》(xiao3 xin1) 気をつける、注意深い
《关心》(guan1 xin1) 関心を持つ、気に留める
《放心》(fang4 xin1) 安心する",安心する,関心を持つ、気に留める,疑い深い,2
蛋糕,dan4 gao1,ケーキ,ケーキ,3,"蛋(dan4)は、卵の意味。
蛋白質(たんぱくしつ)の蛋と同じ字。
卵の主な成分は、蛋白質と脂肪で、炭水化物はほとんどなし。
蛋(タン)と蚕(カイコ)は似ているが、上部が異なる。

糕は、珍楚糕(ちんすこう)の糕(こなもち)。
珍楚糕(ちんすこう)は、沖縄の名産。

【しりとり】
鸡蛋 → 蛋糕(dan4 gao1) ケーキ","《蛋》(dan4)は、卵の意味。
蛋白質(たんぱくしつ)の蛋と同じ字。
卵の主な成分は、蛋白質と脂肪で、炭水化物はほとんどなし。
蛋(タン)と蚕(カイコ)は似ているが、上部が異なる。

糕は、珍楚糕(ちんすこう)の糕(こなもち)。
珍楚糕(ちんすこう)は、沖縄の名産。

【しりとり】
《鸡蛋》 → 《蛋糕》(dan4 gao1) ケーキ",繭(まゆ),蚕の巣,月餅,0
当然,dang1 ran2,勿論,当然だ、【副詞】当然,3,"突然(tu ran)

【エンで終わる漢字】
日本語の音読みで「eン(エン)」で読む単語は、中国語のピンインで「-ian」や「-üan」で終わることが多い。
见(jiàn) 見(ケン)
面(miàn) 面(メン)
前(qián) 前(ゼン)
天(tian1) 天(テン)
点(dian3) 点(テン)

その例外の1つが、然。
然(ran2) 然(ゼン・ネン)","《突然》(tu ran)

【エンで終わる漢字】
日本語の音読みで「eン(エン)」で読む単語は、中国語のピンインで「-ian」や「-üan」で終わることが多い。
《见》(jiàn) 見(ケン)
《面》(miàn) 面(メン)
《前》(qián) 前(ゼン)
《天》(tian1) 天(テン)
《点》(dian3) 点(テン)

その例外の1つが、然。
《然》(ran2) 然(ゼン・ネン)",自然だ、【副詞】自然に,当番,天然,1
地,de5,地面,地面,3,,,地下トンネル,地下闘技場,地獄,2
灯,deng1,ライト,ライト,3,,,トンネル,お手洗い,バナナ,0
低,di1,低い,低い,3,,,背丈が小さい,天気,馬,0
地方,di4 fang1,場所,場所,3,北方、南方,《北方》、《南方》,田舎,サバイバル,お手洗い,3
地铁,di4 tie3,地下鉄,地下鉄,3,"【乗り物】
地铁(di4 tie3)","【乗り物】
《地铁》(di4 tie3)",バス,タクシー,新幹線,1
地图,di4 tu2,マップ,地図,3,"地图は地図。
図書館は、图书馆(tu shu guan)。","《地图》(di4 tu2)は地図。
図書館は、《图书馆》(tu shu guan)。",古本屋,地下アイドル,屯田兵,0
电梯,dian4 ti1,エレベーター,エレベーター,3,"电は、電の簡体字。
梯は、「はしご」や「階段」を意味する。
日本語で梯は「テイ」「タイ」「はしご」と読む。
雲梯(うんてい)

【ti】
梯(ti1) 雲梯の梯(テイ)、タイ
踢(ti1) -
提(ti2) 提出の提(テイ)
题(ti2) ダイ
体(ti3) 体育の体(タイ)","《电》は、電の簡体字。
《梯》は、「はしご」や「階段」を意味する。
日本語で梯は「テイ」「タイ」「はしご」と読む。
雲梯(うんてい)

【ti】
《梯》(ti1) 雲梯の梯(テイ)、タイ
《踢》(ti1) -
《提》(ti2) 提出の提(テイ)
《题》(ti2) ダイ
《体》(ti3) 体育の体(タイ)",地獄,階段,はしご,3
电子邮件,dian4 zi3 you2 jian4,Eメール,Eメール,3,,,ケータイ,パソコン,電車,3
东,dong1,東,東,3,東京は、东京(dong jing)でした。,東京は、东京(dong jing)でした。,西,東京,置き時計,1
冬,dong1,冬,冬,3,,,秋,夏,春,3
动物,dong4 wu4,動物,動物,3,,,運動,面倒,動力,3
短,duan3,短い,短い,3,,,遅い,背丈が小さい,牛,1
段,duan4,セクション,【量詞】区切りを数える,3,,,【量詞】歩数を数える。一歩、二歩。,長い,背丈が小さい,0
锻炼,duan4 lian4,エクササイズ,鍛える(きたえる),3,鍛える(きたえる),鍛える(きたえる),短い,長い,魔法,1
多么,duo1 me5,どのように,どのくらい,3,,,誰が,なぜ,もっともっと,3
饿,e4,空腹,空腹だ・お腹が空いた,3,饿(e4)↔饱(bao3),《饿》(e4)↔《饱》(bao3),満腹だ,億劫,歩く,2
而且,er2 qie3,さらに,【接続詞】かつ、さらに,3,,,【接続詞】けれども,【接続詞】だから,【接続詞】ゆえに,1
耳朵,er3 duo5,耳,耳,3,,,鼻,逃げる,退避する,1
发烧,fa1 shao1,熱,熱が出る、熱がある,3,"发起烧来 熱がではじめる
有点儿发烧 ちょっと熱がある","《发起烧来》 熱がではじめる
《有点儿发烧》 ちょっと熱がある",最後,しかし,新しくする,0
发现,fa1 xian4,発見,発見、発見する,3,发は、發の簡体字で、発と同じ意味。,《发》は、發の簡体字で、発と同じ意味。,研究する,探求する,散髪する,3
方便,fang1 bian4,便利,便利,3,,,おじいさん,安い,愛する,1
放,fang4,離す,離す,3,,,バナナ,呼吸,息,0
放心,fang4 xin1,安心して,安心する,3,"担心(dan1 xin1) 心配する
小心(xiao3 xin1) 気をつける、注意深い
关心(guan1 xin1) 関心を持つ、気に留める
放心(fang4 xin1) 安心する","《担心》(dan1 xin1) 心配する
《小心》(xiao3 xin1) 気をつける、注意深い
《关心》(guan1 xin1) 関心を持つ、気に留める
《放心》(fang4 xin1) 安心する",心配する,気をつける、注意深い,関心を持つ、気に留める,1
分,fen1,分割,分割する,3,,,嫌い,おもちゃ,先祖,0
附近,fu4 jin4,近所,近所,3,,,安産,安い,冷静,3
复习,fu4 xi2,復習する,復習する,3,复习は、それぞれ復習の簡体字。漢字の一部を取った形。,《复习》は、それぞれ復習の簡体字。漢字の一部を取った形。,綺麗,群衆,習字,0
干净,gan1 jing4,クリーン,綺麗だ、清潔だ,3,房间很干净,《房间很干净》,干からびている,群衆,みなさん,2
敢,gan3,敢えて,【助動詞】敢えて〜する,3,"【gan】
干(gan1) 干瓢(カンピョウ)の干(カン)
敢(gan3) 果敢の敢(カン)
感(gan3) 感染の感(カン)","【gan】
《干》(gan1) 干瓢(カンピョウ)の干(カン)
《敢》(gan3) 果敢の敢(カン)
《感》(gan3) 感染の感(カン)",半分,クラス,死体,0
感冒,gan3 mao4,風邪をひく,風邪をひく,3,"生病(sheng1 bing4) 病気になる
感冒(gan3 mao4) 風邪をひく","《生病》(sheng1 bing4) 病気になる
《感冒》(gan3 mao4) 風邪をひく",運搬する,クラス,仕事,2
刚才,gang1 cai2,今,たった今,3,,,法律,裁判官,弁護士,1
跟,gen1,とともに,とともに,3,"【艮(こんづくり・ねづくり・うしとら)】
很(hen3) 很(コン)
跟(gen1) 跟(コン)
根(gen1) 根(コン)
眼(yan1) 眼(ガン)
銀(yin2) 銀(ギン)
腿(tui3) 腿(タイ)

音読みが「ン」で終わる漢字は、-ngではなく-nで終わる傾向がある。","【艮(こんづくり・ねづくり・うしとら)】
《很》(hen3) 很(コン)
《跟》(gen1) 跟(コン)
《根》(gen1) 根(コン)
《眼》(yan1) 眼(ガン)
《銀》(yin2) 銀(ギン)
《腿》(tui3) 腿(タイ)

音読みが「ン」で終わる漢字は、-ngではなく-nで終わる傾向がある。",校長,弁護士,市長,3
根据,gen1 ju4,によると、,根拠、【前置詞】〜に基づき・〜によれば,3,"日本語で「据」は、キョ・す(える)・す(わる)。

【ju】
居(ju1) 住居の居(キョ)
举(ju3) 挙手の挙手(キョ)
据(ju4)
句(ju4)

居, 据は、juと読む。","日本語で「据」は、キョ・す(える)・す(わる)。

【ju】
《居》(ju1) 住居の居(キョ)
《举》(ju3) 挙手の挙手(キョ)
《据》(ju4)
《句》(ju4)

《居》,《据》は、juと読む。",居座る、籠城,【副詞】根気強く,探偵,3
更,geng1,もっと,もっと,3,,,開ける,満腹だ,空腹だ,0
公园,gong1 yuan2,公園,公園,3,"园は、園の簡体字。
公园(gong1 yuan2) 公園(こいえん)
花园(hua1 yuan2) 花園(はなぞの)、ガーデン","《园》は、園の簡体字。
《公园》(gong1 yuan2) 公園(こいえん)
《花园》(hua1 yuan2) 花園(はなぞの)、ガーデン",空腹だ,包む,伝える,0
故事,gu4 shi4,物語,物語,3,,,被る,コップ,米軍,1
刮风,gua1 feng1,風が吹く,風が吹く,3,"日本語での刮は、「カツ」「けず(る)」「こす(る)」「こそ(げる)」と読む。
刮目(カツモク)の刮。

风は、風の簡体字。","日本語での刮は、「カツ」「けず(る)」「こす(る)」「こそ(げる)」と読む。
刮目(カツモク)の刮。

《风》は、風の簡体字。",感謝する,またね,嬉しい,3
关,guan1,閉める,閉める,3,,,家に帰る,寄り道する,頭がいい,0
关系,guan1 xi4,関係,関係,3,,,非常に,飛行機,空,1
关心,guan1 xin1,憂慮,関心を持つ、気に留める,3,,,感謝する,頭が真っ白になる,嬉しい,3
关于,guan1 yu2,について,【前置詞】〜について,3,,,最後、最後にする,【副詞】とりわけ,【接続詞】したがって,2
国家,guo2 jia1,国,国,3,"【guo】
国(guo2) 国(コク)
果(guo3) 果(カ)
过(guo4) 過(カ)","【guo】
《国》(guo2) 国(コク)
《果》(guo3) 果(カ)
《过》(guo4) 過(カ)",対話,教室,紹介する,3
果汁,guo3 zhi1,ジュース,ジュース,3,"【飲み物】
牛奶(niu2 nai3)  牛乳
茶(cha2) お茶
咖啡(ka1 fei1) コーヒー
啤酒(pi2 jiu3) ビール
果汁(guo3 zhi1) ジュース","【飲み物】
《牛奶》(niu2 nai3)  牛乳
《茶》(cha2) お茶
《咖啡》(ka1 fei1) コーヒー
《啤酒》(pi2 jiu3) ビール
《果汁》(guo3 zhi1) ジュース",成果,国,関心,0
过去,guo4 qu5,過去,過去、歩いていく、過ぎ去る,3,过は、過の簡体字。,《过》は、過の簡体字。,河童(かっぱ),フグ,三途の川,3
还是,hai2 shi4,若しくは,【接続詞】それとも、【副詞】まだ、依然として,3,"「还是」は疑問文で使われるのに対し、
「或者」は普通の文で使われる。","「《还是》」は疑問文で使われるのに対し、
「《或者》」は普通の文で使われる。",【接続詞】したがって、【副詞】絶対に,【接続詞】なぜならば、【副詞】絶対に,【副詞】ずっと,2
害怕,hai4 pa4,恐れて,恐れる,3,"【カ行のh読み】
音読みがカ行で、中国語でh読みする漢字は少なくない。
化(huā→huà) 化(カ)
花(huā) 花壇の花(カ)
话(hua4）会話の話(ワ)
画(hua4) 画面の画(ガ)
黑(hei1) 黒(コク)
害(hai4) 害(ガイ)
护(hu4) 護(ゴ)

【pa】
日本語の怕は、ハ・ハク・おそ(れる)と読む。
爬(pa2) 爬虫類の爬(ハ)
怕(pa4) 怕(ハク)","【カ行のh読み】
音読みがカ行で、中国語でh読みする漢字は少なくない。
《化》(huā→huà) 化(カ)
《花》(huā) 花壇の花(カ)
《话》(hua4）会話の話(ワ)
《画》(hua4) 画面の画(ガ)
《黑》(hei1) 黒(コク)
《害》(hai4) 害(ガイ)
《护》(hu4) 護(ゴ)

【pa】
日本語の怕は、ハ・ハク・おそ(れる)と読む。
《爬》(pa2) 爬虫類の爬(ハ)
《怕》(pa4) 怕(ハク)",害獣,害虫,不審者,3
河,he2,川,川,3,渇,《渇》,河童(かっぱ),フグ,三途の川,2
黑板,hei1 ban3,黒板,黒板,3,"【カ行のh読み】
音読みがカ行で、中国語でh読みする漢字は少なくない。
化(huā→huà) 化(カ)
花(huā) 花壇の花(カ)
话(hua4）会話の話(ワ)
画(hua4) 画面の画(ガ)
黑(hei1) 黒(コク)
害(hai4) 害(ガイ)
护(hu4) 護(ゴ)
环(huan2) 環(カン)
换(huan4) 換(カン)
黄(huang2) 黄(コウ)
会(hui4) 会(カイ)","【カ行のh読み】
音読みがカ行で、中国語でh読みする漢字は少なくない。
《化》(huā→huà) 化(カ)
《花》(huā) 花壇の花(カ)
《话》(hua4）会話の話(ワ)
《画》(hua4) 画面の画(ガ)
《黑》(hei1) 黒(コク)
《害》(hai4) 害(ガイ)
《护》(hu4) 護(ゴ)
《环》(huan2) 環(カン)
《换》(huan4) 換(カン)
《黄》(huang2) 黄(コウ)
《会》(hui4) 会(カイ)",まな板,パソコン,時刻表,3
护照,hu4 zhao4,パスポート,パスポート,3,"护は護の簡体字。
照片(zhao4 pian4) 写真
照相机(zhao4 xiang4 ji1) カメラ","《护》は護の簡体字。
《照片》(zhao4 pian4) 写真
《照相机》(zhao4 xiang4 ji1) カメラ",写真,カメラ,護る,3
花,hua1,花,花,3,"这种花儿(この花)

【hua】
化(huā→huà) 化(カ)
花(huā) 花壇の花(カ)
话(hua4）会話の話(ワ)
画(hua4) 画面の画(ガ)
音読みがカ行で、中国語でh読みする漢字は少なくない。

黑(hei1) 黒(コク)
害(hai4) 害(ガイ)","《这种花儿》(この花)

【hua】
《化》(huā→huà) 化(カ)
《花》(huā) 花壇の花(カ)
《话》(hua4）会話の話(ワ)
《画》(hua4) 画面の画(ガ)
音読みがカ行で、中国語でh読みする漢字は少なくない。

《黑》(hei1) 黒(コク)
害(hai4) 害(ガイ)",キロメートル,会社,会社員,2
花园,hua1 yuan2,ガーデン,ガーデン,3,"园は、園の簡体字。
公园(gong1 yuan2) 公園(こいえん)
花园(hua1 yuan2) 花園(はなぞの)、ガーデン","《园》は、園の簡体字。
《公园》(gong1 yuan2) 公園(こいえん)
《花园》(hua1 yuan2) 花園(はなぞの)、ガーデン",学校,駅,宿舎,0
画,hua4,絵,絵,3,"这张画儿 この絵
儿はあってもなくても、意味は変わらない。","《这张画儿》 この絵
《儿》はあってもなくても、意味は変わらない。",安い,貴社,あなた,0
坏,huai4,悪い,悪い、壊す、壊れている,3,"坏(壞, huai4)は、破壊(ハカイ)の壊です。
王偏の环(環, huán)とは字面も音も似てますが注意しましょう。环境(huán jìng)","《坏》(壞, huai4)は、破壊(ハカイ)の壊です。
王偏の《环》(環, huán)とは字面も音も似てますが注意しましょう。《环境》(huán jìng)",カップ、コップ,さらに,環境,2
还,huan3,さらに,さらに,3,"王偏の环(環)は声調違いの同音です。环境(huán jìng)
hái→huán","王偏の环(環)は声調違いの同音です。环境(huán jìng)
hái→huán",過ぎる,悪い、壊す、壊れている,大人,1
环境,huan2 jing4,環境,環境,3,"【huan】
环(huan2) 環(カン)
换(huan4) 換(カン)","【huan】
《环》(huan2) 環(カン)
《换》(huan4) 換(カン)",過ぎる,さらに,悪い、壊す、壊れている,0
换,huan4,変える,乗り換える、交換する,3,"换は、日本語の「交換する」の「換」に相当する。

【huan】
欢(huan1) 歓(カン)
环(huan2) 環(カン)
换(huan4) 換(カン)","《换》は、日本語の「交換する」の「換」に相当する。

【huan】
《欢》(huan1) 歓(カン)
《环》(huan2) 環(カン)
《换》(huan4) 換(カン)",さらに,環境,大好き,1
黄,huang2,黄色,黄色,3,中国全体で7番目、台湾で3番目の有名な名字。,中国全体で7番目、台湾で3番目の有名な名字。,語る,高い,安い,0
会议,hui4 yi4,会議,会議,3,议は、議の簡体字。,《议》は、議の簡体字。,会長,会話,会報,1
或者,huo4 zhe3,若しくは,あるいは,3,"日本語で「あるいは」は「或いは」「或は」と書く。

「还是」は疑問文で使われるのに対し、
「或者」は普通の文で使われる。

【huo】
火(huo3) 火(カ)
或(huo4) 或(ワク)","日本語で「あるいは」は「或いは」「或は」と書く。

「《还是》」は疑問文で使われるのに対し、
「《或者》」は普通の文で使われる。

【huo】
《火》(huo3) 火(カ)
《或》(huo4) 或(ワク)",実際,本物,高い,0
几乎,ji1 hu1,殆ど,ほとんど,3,,,どのように呼ぶか,何度呼ぶか,全てに,3
机会,ji1 hui4,機会,機会,3,,,家に帰る,寄り道する,頭がいい,3
极,ji2,極,【副詞】きわめて、ごく,3,"极(ji2)は、極の簡体字。

【ji】
几(ji1, ji3) 几(キ、つくえ、ひじかけ)
机(ji1) 機会の機(キ)
及(ji2) 言及の及(キュウ)
极(ji2) 極(キョク)
级(ji2) 級(キュウ)
急(ji2) 急(キュウ)
记(ji4) 記(キ)
季(ji4) 季(キ)

几はji1, 及はji2と読みそう。","《极》(ji2)は、極の簡体字。

【ji】
《几》(ji1, ji3) 几(キ、つくえ、ひじかけ)
《机》(ji1) 機会の機(キ)
《及》(ji2) 言及の及(キュウ)
《极》(ji2) 極(キョク)
《级》(ji2) 級(キュウ)
《急》(ji2) 急(キュウ)
《记》(ji4) 記(キ)
《季》(ji4) 季(キ)

《几》はji1, 及はji2と読みそう。",非常に,飛行機,空,0
记得,ji4 de5,思い出す,【動詞】覚えている,3,,,【動詞】忘れている,【動詞】覚える,【動詞】忘れる,3
季节,ji4 jie2,シーズン,季節、シーズン,3,"节は、節(セツ・jie)の簡体字。

季节(ji4 jie2)は、季節・シーズン。
节目(jie2 mu4)は、プログラム。
节日(jie2 ri4)は、休日。

【jie】
接(jie1) 接合の接(セツ)
节(jie2) 節日の節(セツ)
结(jie2) 結合の結(ケツ)

街(jie1)  街道の街(カイ)
解(jie3) 解決の解(カイ)
界(jie4) 世界の界(カイ)
介(jie4) 紹介の介(カイ)
「界」の中に「介」が入っている。

姐(jie3) 姐(ソ・シャ)
借(jie4) 借金の借(シャッ)","《节》は、節(セツ・jie)の簡体字。

《季节》(ji4 jie2)は、季節・シーズン。
《节目》(jie2 mu4)は、プログラム。
《节日》(jie2 ri4)は、休日。

【jie】
《接》(jie1) 接合の接(セツ)
《节》(jie2) 節日の節(セツ)
《结》(jie2) 結合の結(ケツ)

《街》(jie1)  街道の街(カイ)
《解》(jie3) 解決の解(カイ)
《界》(jie4) 世界の界(カイ)
《介》(jie4) 紹介の介(カイ)
「《界》」の中に「《介》」が入っている。

《姐》(jie3) 姐(ソ・シャ)
《借》(jie4) 借金の借(シャッ)",お祭り,プログラム,休日,3
检查,jian3 cha2,検査,検査する、反省する,3,,,検査する、視力をはかる,検査する、辞書で調べる,検査する、破壊する,0
简单,jian3 dan1,シンプル,シンプル,3,"中国語の「单」の字は、日本の「単」より上の部分が1画少ないので注意。

菜单(cai4 dan1) メニュー
简单(jian3 dan1) シンプル","中国語の「单」の字は、日本の「単」より上の部分が1画少ないので注意。

菜单(cai4 dan1) メニュー
简单(jian3 dan1) シンプル",写真機,お姉ちゃん,コーヒー,3
健康,jian4 kang1,健康,健康、健康だ,3,,,本当、本当は,運動、運動する,会う、会見,2
见面,jian4 mian4,会う,会う,3,,,祝日,急死,人間,0
讲,jiang3,話す,話す、説明する、講義する,3,講の簡体字。,講の簡体字。,雨,晴れ,寒い,2
教,jiao1,教える,教える,3,,,目,顔,唇(くちびる),3
脚,jiao3,足,足 (くるぶしから爪先),3,"- 腿(tui3) 脚(あし) (足首から付け根・もも)
- 脚(jiao3) 足(あし) (踝(くるぶし)から爪先(つまさき))
中国語の脚(jiao3)が、日本語の「足(あし)」に相当するイメージ。ややこしい。","- 《腿》(tui3) 脚(あし) (足首から付け根・もも)
- 《脚》(jiao3) 足(あし) (踝(くるぶし)から爪先(つまさき))
中国語の《脚》(jiao3)が、日本語の「足(あし)」に相当するイメージ。ややこしい。",脚 (足首から付け根・もも),指,メガネ,3
角,jiao3,角度,1元の10分の1,3,"人民元の単位。
元の10分の1。
口語では「毛(mao2)」という。
さらに、角の10分の1は、分(fen1)という。

【jiao】
蕉(jiao1) 芭蕉の蕉(ショウ)
教(jiao1→jiao4) 教(キョウ)
脚(jiao3) 足(ソク)
角(jiao3) 角(カク)
较(jiao4) 比較の較(カク)
觉(jiao4) 覚悟の覚(カク)
叫(jiao4) 絶叫の叫(キョウ)","人民元の単位。
《元》の10分の1。
口語では「《毛》(mao2)」という。
さらに、《角》の10分の1は、《分》(fen1)という。

【jiao】
《蕉》(jiao1) 芭蕉の蕉(ショウ)
《教》(jiao1→jiao4) 教(キョウ)
《脚》(jiao3) 足(ソク)
《角》(jiao3) 角(カク)
《较》(jiao4) 比較の較(カク)
《觉》(jiao4) 覚悟の覚(カク)
《叫》(jiao4) 絶叫の叫(キョウ)",教える,比べる,〜と申します,0
接,jie1,受ける,受ける、つなぐ、接近する,3,,,仲介、仲介する、つなぐ,休日、休む,プログラム,3
街道,jie1 dao4,ストリート,通り、ストリート、町内,3,,,会う,帰る,戦う,2
结婚,jie2 hun1,結婚,結婚する,3,対義語は、离婚(lí hūn)。,対義語は、《离婚》(lí hūn)。,婚約者,婚約する,結束する,3
结束,jie2 shu4,終了,終了、終わる、終わらせる,3,,,結束、結束する,束、束になる、束ねる,連結、連結する、連結させる,1
节目,jie2 mu4,プログラム,番組、プログラム,3,"节は、節(セツ・jie)の簡体字。

季节(ji4 jie2)は、季節・シーズン。
节目(jie2 mu4)は、プログラム。
节日(jie2 ri4)は、休日。","节は、節(セツ・jie)の簡体字。

《季节》(ji4 jie2)は、季節・シーズン。
《节目》(jie2 mu4)は、プログラム。
《节日》(jie2 ri4)は、休日。",起き上がる,起きる,起こす,3
节日,jie2 ri4,休日,休日,3,"节は、節(セツ・jie)の簡体字。

季节(ji4 jie2)は、季節・シーズン。
节目(jie2 mu4)は、プログラム。
节日(jie2 ri4)は、休日。","《节》は、《節》(セツ・jie)の簡体字。

《季节》(ji4 jie2)は、季節・シーズン。
《节目》(jie2 mu4)は、プログラム。
《节日》(jie2 ri4)は、休日。",意識,意外,静けさ,1
解决,jie3 jue2,解決する,解決、解決する,3,,,決別、決別する,解答、解答する,解凍、解凍する,0
借,jie4,借りる,(お金・本・モノを)貸す・かりる,3,本をかりる,本をかりる,また,誰であっても,一般的にいえば,1
经常,jing1 chang2,しばしば,平時の、しょっちゅう、たえず,3,,,マネージャー,走る,旅行する,0
经过,jing1 guo4,スルー,経緯・過ぎる,3,,,経理部,お金,賢い,0
经理,jing1 li3,マネージャー,マネージャー・経営する,3,,,経理部,平時の、しょっちゅう、たえず,賢い,2
久,jiu3,長い,(時間的に)長い,3,,,遠い,終わらない,大変つらい,3
旧,jiu4,古い,古い,3,,,常に,特別に,一般的には,2
举行,ju3 xing2,行う,(儀式などを)行う,3,挙行(きょこう)する,挙行(きょこう)する,手を挙げる,鎮圧する,暴力を振るう,3
句子,ju4 zi5,文,文,3,筍(タケノコ)や旬(シュン)ではなく、俳句の句。,筍(タケノコ)や旬(シュン)ではなく、俳句の句。,タケノコ,俳句,旬,2
决定,jue2 ding4,決める,決める,3,"日本語の「決」はさんずいだが、
中国語の「决」はにすいになっている。","日本語の「決」はさんずいだが、
中国語の「决」はにすいになっている。",月,太陽,思う,0
渴,ke3,喉が渇く,喉が渇く,3,"喝 (hē→hè)
渴 ke3

日本語で「渇」は、「カツ」「かわ(く)」「カチ」と読む。
「渇望」「渇水」「枯渇」","《喝》 (hē→hè)
《渴》 ke3

日本語で「渇」は、「カツ」「かわ(く)」「カチ」と読む。
「渇望」「渇水」「枯渇」",また,誰であっても,一般的にいえば,0
可爱,ke3 ai4,愛らしい,かわいい、愛(あい)らしい,3,"漂亮(piao4 liang) 美しい(beutiful)
可爱(ke3 ai4) かわいい、愛らしい","《漂亮》(piao4 liang) 美しい(beutiful)
《可爱》(ke3 ai4) かわいい、愛らしい",美しい,走る,旅行する,1
